Country,Cases,Deaths,Year,Month,Day
Ecuador,115,0,2009,6,24
Egypt,40,0,2009,6,24
El Salvador,160,0,2009,6,24
Estonia,5,0,2009,6,24
Ethiopia,2,0,2009,6,24
Fiji,2,0,2009,6,24
Finland,26,0,2009,6,24
France,174,0,2009,6,24
Germany,301,0,2009,6,24
Greece,58,0,2009,6,24
Guatemala ,235,1,2009,6,24
Honduras,118,0,2009,6,24
Hungary,7,0,2009,6,24
Iceland,4,0,2009,6,24
India,64,0,2009,6,24
Ireland,23,0,2009,6,24
Israel,375,0,2009,6,24
Italy,96,0,2009,6,24
Jamaica,19,0,2009,6,24
Japan,893,0,2009,6,24
Jordan,15,0,2009,6,24
"Korea, Republic of",115,0,2009,6,24
Kuwait,26,0,2009,6,24
Laos,3,0,2009,6,24
Latvia,1,0,2009,6,24
Lebanon,25,0,2009,6,24
Luxembourg,3,0,2009,6,24
Malaysia,68,0,2009,6,24
Mexico,7847,115,2009,6,24
Montenegro,1,0,2009,6,24
Morocco,9,0,2009,6,24
Netherlands,114,0,2009,6,24
New Zealand,386,0,2009,6,24
Nicaragua,220,0,2009,6,24
Norway,22,0,2009,6,24
Oman,3,0,2009,6,24
Panama,330,0,2009,6,24
Papua New Guinea,1,0,2009,6,24
Paraguay,58,0,2009,6,24
Peru,217,0,2009,6,24
Philippines,445,1,2009,6,24
Poland,13,0,2009,6,24
Portugal,6,0,2009,6,24
Qatar,10,0,2009,6,24
Romania,19,0,2009,6,24
Russia,3,0,2009,6,24
Samoa,1,0,2009,6,24
Saudi Arabia,45,0,2009,6,24
Singapore,194,0,2009,6,24
Slovakia,4,0,2009,6,24
Slovenia,1,0,2009,6,24
South Africa,1,0,2009,6,24
Spain,539,0,2009,6,24
Sri Lanka,5,0,2009,6,24
Suriname,11,0,2009,6,24
Sweden,55,0,2009,6,24
Switzerland,33,0,2009,6,24
Thailand,774,0,2009,6,24
Trinidad and Tobago,25,0,2009,6,24
Tunisia,2,0,2009,6,24
Turkey,26,0,2009,6,24
Ukraine,1,0,2009,6,24
United Arab Emirates,2,0,2009,6,24
United Kingdom,2909,1,2009,6,24
United States of America,21449,87,2009,6,24
Uruguay,195,0,2009,6,24
Vanuatu,1,0,2009,6,24
Venezuela,135,0,2009,6,24
Viet Nam,56,0,2009,6,24
West Bank and Gaza Strip,8,0,2009,6,24
Yemen,6,0,2009,6,24
Algeria,1,0,2009,6,22
Argentina,1010,7,2009,6,22
Australia,2436,1,2009,6,22
Austria,9,0,2009,6,22
Bahamas,2,0,2009,6,22
Bahrain,15,0,2009,6,22
Bangladesh,1,0,2009,6,22
Barbados,4,0,2009,6,22
Belgium,29,0,2009,6,22
"Bermuda, UKOT",1,0,2009,6,22
Bolivia,25,0,2009,6,22
Brazil,131,0,2009,6,22
"British Virgin Islands, UKOT",1,0,2009,6,22
Brunei Darussalam,1,0,2009,6,22
Bulgaria,2,0,2009,6,22
Canada,5710,13,2009,6,22
"Cayman Islands, UKOT",4,0,2009,6,22
Chile,4315,4,2009,6,22
China,739,0,2009,6,22
Colombia,71,2,2009,6,22
Costa Rica,149,1,2009,6,22
Cuba,15,0,2009,6,22
Cyprus,4,0,2009,6,22
Czech Republic,7,0,2009,6,22
Denmark,23,0,2009,6,22
Dominica,1,0,2009,6,22
Dominican Republic,93,1,2009,6,22
Ecuador,95,0,2009,6,22
Egypt,39,0,2009,6,22
El Salvador,160,0,2009,6,22
Estonia,5,0,2009,6,22
Fiji,1,0,2009,6,22
Finland,13,0,2009,6,22
France,149,0,2009,6,22
Germany,275,0,2009,6,22
Greece,48,0,2009,6,22
Guatemala ,208,1,2009,6,22
Honduras,108,0,2009,6,22
Hungary,7,0,2009,6,22
Iceland,4,0,2009,6,22
India,44,0,2009,6,22
Ireland,23,0,2009,6,22
Israel,291,0,2009,6,22
Italy,88,0,2009,6,22
Jamaica,19,0,2009,6,22
Japan,850,0,2009,6,22
Jordan,13,0,2009,6,22
"Korea, Republic of",105,0,2009,6,22
Kuwait,26,0,2009,6,22
Laos,2,0,2009,6,22
