virus_type,date,country,cases,deaths,recovered,week_number,month,year
Coronavirus,2020-02-16,Finland,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-17,Finland,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-18,Finland,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-19,Finland,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-20,Finland,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-21,Finland,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-22,Finland,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-23,Finland,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-24,Finland,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,Finland,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Finland,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Finland,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Finland,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Finland,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Finland,3.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Finland,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Finland,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-01-24,France,2.0,0.0,0.0,4,1,2020
Coronavirus,2020-01-25,France,1.0,0.0,0.0,4,1,2020
Coronavirus,2020-01-26,France,0.0,0.0,0.0,4,1,2020
Coronavirus,2020-01-27,France,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-28,France,1.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-29,France,1.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-30,France,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-31,France,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-02-01,France,1.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-02,France,0.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-03,France,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-04,France,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-05,France,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-06,France,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-07,France,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-08,France,5.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-09,France,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-10,France,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-11,France,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-12,France,0.0,0.0,2.0,7,2,2020
